class,precision,recall,f1,support
Araneae,0.957,0.9468,0.9519,564
Blattodea,0.157,0.8261,0.2639,23
Coleoptera,0.218,0.2625,0.2382,1143
Diptera,0.9931,0.7689,0.8667,31913
Hemiptera,0.1875,0.0774,0.1096,775
Hymenoptera,0.7744,0.8019,0.7879,3326
Ixodida,0.0041,1.0,0.0082,1
Lepidoptera,0.953,0.6858,0.7976,1744
Mecoptera,0.0968,0.0882,0.0923,34
Neuroptera,0.3333,0.0261,0.0484,115
Orthoptera,0.0576,1.0,0.1088,8
Plecoptera,0.1049,0.9074,0.1881,54
Raphidioptera,0.2222,1.0,0.3636,2
Trichoptera,0.1235,0.8235,0.2147,85
