method,fold,class,precision,recall,f1,support,trained_in_joint
joint_lora_softprompt,0,Araneae,1.0,0.9734,0.9865,188,True
joint_lora_softprompt,0,Blattodea,0.0,0.0,0.0,8,False
joint_lora_softprompt,0,Coleoptera,0.9415,0.8871,0.9135,381,True
joint_lora_softprompt,0,Diptera,0.9886,0.9902,0.9894,10638,True
joint_lora_softprompt,0,Hemiptera,0.796,0.9225,0.8546,258,True
joint_lora_softprompt,0,Hymenoptera,0.9491,0.9423,0.9457,1109,True
joint_lora_softprompt,0,Ixodida,0.0,0.0,0.0,0,False
joint_lora_softprompt,0,Lepidoptera,0.9931,0.9914,0.9922,581,True
joint_lora_softprompt,0,Mecoptera,0.0,0.0,0.0,12,False
joint_lora_softprompt,0,Neuroptera,0.7222,0.6842,0.7027,38,True
joint_lora_softprompt,0,Orthoptera,0.0,0.0,0.0,3,False
joint_lora_softprompt,0,Plecoptera,0.7619,0.8889,0.8205,18,True
joint_lora_softprompt,0,Raphidioptera,0.0,0.0,0.0,0,False
joint_lora_softprompt,0,Trichoptera,0.9286,0.9286,0.9286,28,True
joint_lora_softprompt,1,Araneae,1.0,0.9255,0.9613,188,True
joint_lora_softprompt,1,Blattodea,0.0,0.0,0.0,8,False
joint_lora_softprompt,1,Coleoptera,0.8813,0.916,0.8983,381,True
joint_lora_softprompt,1,Diptera,0.9908,0.9853,0.9881,10638,True
joint_lora_softprompt,1,Hemiptera,0.8868,0.9073,0.8969,259,True
joint_lora_softprompt,1,Hymenoptera,0.9055,0.9603,0.9321,1108,True
joint_lora_softprompt,1,Ixodida,0.0,0.0,0.0,0,False
joint_lora_softprompt,1,Lepidoptera,0.9981,0.926,0.9607,581,True
joint_lora_softprompt,1,Mecoptera,0.0,0.0,0.0,11,False
joint_lora_softprompt,1,Neuroptera,0.7,0.9211,0.7955,38,True
joint_lora_softprompt,1,Orthoptera,0.0,0.0,0.0,2,False
joint_lora_softprompt,1,Plecoptera,1.0,0.9444,0.9714,18,True
joint_lora_softprompt,1,Raphidioptera,0.0,0.0,0.0,0,False
joint_lora_softprompt,1,Trichoptera,0.4394,1.0,0.6105,29,True
joint_lora_softprompt,2,Araneae,0.9947,1.0,0.9973,188,True
joint_lora_softprompt,2,Blattodea,0.0,0.0,0.0,7,False
joint_lora_softprompt,2,Coleoptera,0.9237,0.8898,0.9064,381,True
joint_lora_softprompt,2,Diptera,0.9885,0.9915,0.99,10637,True
joint_lora_softprompt,2,Hemiptera,0.9055,0.8915,0.8984,258,True
joint_lora_softprompt,2,Hymenoptera,0.9303,0.9504,0.9402,1109,True
joint_lora_softprompt,2,Ixodida,0.0,0.0,0.0,0,False
joint_lora_softprompt,2,Lepidoptera,0.9896,0.9777,0.9836,582,True
joint_lora_softprompt,2,Mecoptera,0.0,0.0,0.0,11,False
joint_lora_softprompt,2,Neuroptera,0.7742,0.6154,0.6857,39,True
joint_lora_softprompt,2,Orthoptera,0.0,0.0,0.0,3,False
joint_lora_softprompt,2,Plecoptera,0.8889,0.8889,0.8889,18,True
joint_lora_softprompt,2,Raphidioptera,0.0,0.0,0.0,0,False
joint_lora_softprompt,2,Trichoptera,0.9167,0.7857,0.8462,28,True
