method,fold,class,precision,recall,f1,support
efficientnetb3_finetuned,0,Araneae,0.9838,0.9681,0.9759,188
efficientnetb3_finetuned,0,Blattodea,0.8571,0.75,0.8,8
efficientnetb3_finetuned,0,Coleoptera,0.8492,0.8425,0.8458,381
efficientnetb3_finetuned,0,Diptera,0.9856,0.9872,0.9864,10638
efficientnetb3_finetuned,0,Hemiptera,0.8961,0.8023,0.8466,258
efficientnetb3_finetuned,0,Hymenoptera,0.9223,0.9315,0.9269,1109
efficientnetb3_finetuned,0,Ixodida,0.0,0.0,0.0,0
efficientnetb3_finetuned,0,Lepidoptera,0.9728,0.9845,0.9786,581
efficientnetb3_finetuned,0,Mecoptera,0.5833,0.5833,0.5833,12
efficientnetb3_finetuned,0,Neuroptera,0.7273,0.6316,0.6761,38
efficientnetb3_finetuned,0,Orthoptera,1.0,0.6667,0.8,3
efficientnetb3_finetuned,0,Plecoptera,0.75,0.8333,0.7895,18
efficientnetb3_finetuned,0,Raphidioptera,0.0,0.0,0.0,0
efficientnetb3_finetuned,0,Trichoptera,0.871,0.9643,0.9153,28
efficientnetb3_finetuned,1,Araneae,1.0,0.9415,0.9699,188
efficientnetb3_finetuned,1,Blattodea,1.0,0.875,0.9333,8
efficientnetb3_finetuned,1,Coleoptera,0.849,0.8556,0.8523,381
efficientnetb3_finetuned,1,Diptera,0.9876,0.9854,0.9865,10638
efficientnetb3_finetuned,1,Hemiptera,0.9071,0.7915,0.8454,259
efficientnetb3_finetuned,1,Hymenoptera,0.9154,0.9468,0.9308,1108
efficientnetb3_finetuned,1,Ixodida,0.0,0.0,0.0,0
efficientnetb3_finetuned,1,Lepidoptera,0.9692,0.9742,0.9717,581
efficientnetb3_finetuned,1,Mecoptera,0.3846,0.4545,0.4167,11
efficientnetb3_finetuned,1,Neuroptera,0.617,0.7632,0.6824,38
efficientnetb3_finetuned,1,Orthoptera,1.0,1.0,1.0,2
efficientnetb3_finetuned,1,Plecoptera,0.85,0.9444,0.8947,18
efficientnetb3_finetuned,1,Raphidioptera,0.0,0.0,0.0,0
efficientnetb3_finetuned,1,Trichoptera,0.725,1.0,0.8406,29
efficientnetb3_finetuned,2,Araneae,0.9894,0.9894,0.9894,188
efficientnetb3_finetuned,2,Blattodea,1.0,0.8571,0.9231,7
efficientnetb3_finetuned,2,Coleoptera,0.8835,0.8556,0.8693,381
efficientnetb3_finetuned,2,Diptera,0.9865,0.9862,0.9863,10637
efficientnetb3_finetuned,2,Hemiptera,0.8824,0.8721,0.8772,258
efficientnetb3_finetuned,2,Hymenoptera,0.9137,0.936,0.9247,1109
efficientnetb3_finetuned,2,Ixodida,0.0,0.0,0.0,0
efficientnetb3_finetuned,2,Lepidoptera,0.9727,0.9794,0.976,582
efficientnetb3_finetuned,2,Mecoptera,0.75,0.2727,0.4,11
efficientnetb3_finetuned,2,Neuroptera,0.6486,0.6154,0.6316,39
efficientnetb3_finetuned,2,Orthoptera,1.0,1.0,1.0,3
efficientnetb3_finetuned,2,Plecoptera,0.8421,0.8889,0.8649,18
efficientnetb3_finetuned,2,Raphidioptera,0.0,0.0,0.0,0
efficientnetb3_finetuned,2,Trichoptera,0.9167,0.7857,0.8462,28
