,precision,recall,f1-score,support
Araneae,0.967,0.824,0.89,564.0
Blattodea,1.0,0.13,0.231,23.0
Coleoptera,1.0,0.003,0.005,1143.0
Diptera,0.0,0.0,0.0,31914.0
Hemiptera,0.0,0.0,0.0,775.0
Hymenoptera,0.0,0.0,0.0,3326.0
Ixodida,0.007,1.0,0.014,1.0
Lepidoptera,1.0,0.002,0.003,1744.0
Mecoptera,0.009,0.147,0.018,34.0
Neuroptera,0.0,0.0,0.0,115.0
Orthoptera,0.034,1.0,0.065,8.0
Plecoptera,0.001,1.0,0.003,54.0
Raphidioptera,0.0,0.0,0.0,2.0
Trichoptera,0.219,0.376,0.277,85.0
accuracy,0.014,0.014,0.014,0.014
macro avg,0.303,0.32,0.108,39788.0
weighted avg,0.087,0.014,0.014,39788.0
